repo,CommitCommentEvent,CreateEvent,DeleteEvent,ForkEvent,GollumEvent,IssueCommentEvent,IssuesEvent,MemberEvent,PublicEvent,PullRequestEvent,PullRequestReviewCommentEvent,PullRequestReviewEvent,PushEvent,ReleaseEvent,WatchEvent
davotronic5000/PowerShell_Credential_Manager,0.0,0.0,0.0,38.0,1.0,17.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0
davudk/OpenGL-TileMap-Demos,0.0,5.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,13.0,0.0,54.0
dawnlabs/alchemy,0.0,20.0,21.0,36.0,0.0,31.0,4.0,0.0,0.0,43.0,0.0,0.0,28.0,0.0,252.0
dawnranger/pytorch-AGNN,0.0,0.0,0.0,22.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0
dawoudt/JustWatchAPI,0.0,1.0,0.0,50.0,0.0,59.0,24.0,0.0,0.0,24.0,0.0,0.0,10.0,0.0,275.0
dawsonjon/FPGA-TX,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
dayjs/dayjs-website,4.0,5.0,5.0,326.0,0.0,156.0,42.0,0.0,0.0,188.0,19.0,21.0,470.0,0.0,85.0
dbenitez-bcn/solid_bottom_sheet,0.0,25.0,14.0,25.0,0.0,103.0,47.0,0.0,0.0,43.0,0.0,0.0,86.0,3.0,63.0
dborzov/lsp,0.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,77.0
dbousamra/hnes,0.0,0.0,0.0,14.0,0.0,4.0,3.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,77.0
dbrattli/Expression,0.0,55.0,30.0,11.0,0.0,63.0,31.0,0.0,0.0,85.0,15.0,27.0,140.0,20.0,169.0
dbry/audio-stretch,0.0,7.0,1.0,9.0,0.0,38.0,11.0,0.0,0.0,14.0,0.0,0.0,18.0,3.0,57.0
dbuenzli/brr,9.0,7.0,0.0,25.0,0.0,180.0,79.0,0.0,0.0,37.0,6.0,6.0,92.0,0.0,83.0
dcblogdev/laravel-module-generator,0.0,13.0,5.0,18.0,0.0,10.0,10.0,0.0,0.0,10.0,0.0,0.0,46.0,9.0,69.0
dcleblanc/SafeInt,8.0,26.0,15.0,41.0,0.0,201.0,36.0,1.0,0.0,66.0,2.0,4.0,108.0,8.0,166.0
dcnieho/FreeGLUT,0.0,5.0,0.0,66.0,0.0,68.0,14.0,0.0,0.0,18.0,23.0,17.0,13.0,0.0,159.0
dcowden/featurescript,0.0,2.0,1.0,9.0,0.0,4.0,4.0,0.0,0.0,12.0,0.0,0.0,5.0,0.0,144.0
dddzg/unimoco,0.0,2.0,0.0,10.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,55.0
ddout/yf-exam-lite,0.0,2.0,0.0,115.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,434.0
ddugovic/Stockfish,54.0,183.0,212.0,56.0,5.0,155.0,75.0,1.0,0.0,35.0,8.0,8.0,1355.0,6.0,75.0
de-vri-es/assert2-rs,0.0,50.0,21.0,9.0,0.0,75.0,30.0,1.0,0.0,42.0,8.0,2.0,176.0,0.0,94.0
deaaprizal/buburitapps,9.0,31.0,26.0,34.0,0.0,14.0,2.0,5.0,0.0,79.0,0.0,0.0,102.0,0.0,86.0
death-save/combat-utility-belt,2.0,168.0,131.0,80.0,32.0,877.0,960.0,1.0,0.0,356.0,5.0,4.0,587.0,41.0,60.0
debbijoy/CS-GO-HACK-ESP-AIM-More-functionality-Your-website,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0
debian-cryptoanarchy/cryptoanarchy-deb-repo-builder,0.0,25.0,19.0,15.0,0.0,144.0,69.0,0.0,0.0,74.0,62.0,78.0,198.0,0.0,94.0
debut-js/Strategies,0.0,1.0,0.0,73.0,0.0,4.0,10.0,0.0,1.0,13.0,5.0,8.0,128.0,0.0,152.0
declare-lab/awesome-sentiment-analysis,0.0,0.0,0.0,106.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,26.0,0.0,556.0
decompositional-semantics-initiative/decomp,0.0,18.0,10.0,9.0,0.0,49.0,17.0,0.0,0.0,41.0,77.0,2.0,43.0,10.0,59.0
ded/express-limiter,0.0,0.0,0.0,14.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,63.0
dedekinds/Graph-Embedding,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0
deepak-malik/Data-Structures-In-Java,0.0,0.0,0.0,52.0,0.0,1.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,122.0
deepakiim/Deploy-machine-learning-model,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,66.0
deepakjayaprakash/Smart-Parking-System,0.0,0.0,0.0,23.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0
deepanshuoct12/leetcode_company_wise_questions,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0
deepfence/deepfence_runtime_api,0.0,8.0,5.0,3.0,0.0,1.0,0.0,1.0,1.0,13.0,0.0,2.0,72.0,0.0,52.0
deepinstinct/LsassSilentProcessExit,0.0,0.0,0.0,62.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,435.0
deeplearningzerotoall/season2,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0
deeplycloudy/glmtools,0.0,11.0,9.0,26.0,0.0,142.0,49.0,0.0,0.0,62.0,3.0,0.0,88.0,0.0,52.0
deepmind/card2code,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0
deepmind/digraph_transformer,0.0,0.0,0.0,7.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,72.0
deepmind/dnc,0.0,0.0,0.0,88.0,0.0,10.0,4.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,327.0
deepmind/einshape,0.0,0.0,0.0,4.0,0.0,5.0,6.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,76.0
deepmind/mujoco,7.0,21.0,6.0,470.0,0.0,2673.0,1276.0,7.0,0.0,179.0,81.0,182.0,754.0,15.0,4279.0
deepset-ai/prompthub,0.0,43.0,28.0,16.0,0.0,18.0,23.0,0.0,0.0,60.0,26.0,39.0,78.0,0.0,135.0
deepware/deepfake-scanner,0.0,2.0,0.0,38.0,0.0,8.0,11.0,0.0,1.0,8.0,0.0,0.0,25.0,0.0,118.0
deflorio/SpOCK,0.0,5.0,0.0,10.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,20.0,3.0,53.0
defparam/tiscripts,0.0,0.0,0.0,63.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,227.0
degatchi/mev-template-rs,0.0,0.0,0.0,85.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,332.0
degranda/Proyecto-Google-Clone,0.0,2.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,94.0
