repo,packages,trending,domain
OrcFofa/ExerciciosPython_SquadCarmenPortinho,False,False,tutorial/demo
oselezi/solana-volume-sdk,True,False,blockchain
oweniscool6996/revo-pro-version,False,False,suspicious
oxylabs/aliexpress-scraper,True,False,web
oxylabs/google-shopping-scraper,True,False,web
oxylabs/how-to-scrape-google-flights,False,False,tutorial/demo
oxylabs/Python-Web-Scraping-Tutorial,True,False,tutorial/demo
oxylabs/youtube-scraper,True,False,web
paidworkco/worken-sdk-php,True,False,deleted
pakistani-tiktoker-imsha-rehman/.github,False,False,suspicious
Pandasswap/PancakeswapBot,False,True,suspicious
pengweizhong/dynamic-sql,True,False,web
Pleasurecruise/NottinghamWall,True,False,tool/application
polytope-labs/hyperbridge,True,False,blockchain
PonomarevAleksandr/PonomarevAleksandr,False,False,other
ProjectNeura/LEADS,True,False,other
Propants05/swot,False,False,suspicious
pyno567402/ua5vkyr8,False,False,suspicious
PZXforXcode/PZXCodeTextField,True,False,other
qqmmbq/Proxy-Checker-Grabber-Tool,False,False,suspicious
rabetofficial/rabet-extension,False,False,blockchain
react-voodoo/react-voodoo,True,False,web
Recognito-Vision/Face-SDK-iOS-Demo,False,False,ai
Recognito-Vision/Linux-FaceRecognition-FaceLivenessDetection,False,False,ai
renning22/engy,True,False,ai
renoyuan/easyofd,True,False,other
RexGRM/IntrinsicProteinSim,False,False,other
RiemaLabs/modular-indexer-committee,True,False,blockchain
risesoft-y9/Digital-Infrastructure,True,False,tool/application
rocketapi-io/threads-private-api,False,False,tutorial/demo
rondagayman307/WhatsApp-Web-Spammer,False,True,suspicious
rondaundefinedyard/worldoftanksHCK,False,True,suspicious
rookie-luochao/openapi-ui,True,False,web
rothdezlife34/PointBlankHCK,False,True,suspicious
rothqutra489/DOXCOIN-AUTOBOT,False,False,suspicious
Rreis019/SuperMarioRecreation,False,False,tutorial/demo
Rtyn1337/Thimble-bot-4.1,False,False,suspicious
rubakloedeil10/WarfaceHCK,False,True,suspicious
rukhsar88/dotcoin-autoclicker,False,False,suspicious
rxson/rxson,True,False,deleted
rytsai/best-undress-ai-list,True,False,ai
s2click/venom,False,False,bot
saga-flow-projects/saga-flow,False,False,blockchain
salwinat0r/Illegal_Product_Categorization,False,False,suspicious
sanriodev/goji,True,False,other
Santhiyaprakash/complaint_management_system,False,False,suspicious
sayyedaaman2/testimonials-grid-section-main,False,False,tutorial/demo
scayle/admin-api-php-sdk,True,False,web
scayle/storefront-api-php-sdk,True,False,web
scayle/storefront-api-ts-sdk,True,False,web
scrapy/loginform,True,False,web
semanser/codel,False,True,ai
Sepehr0Day/Cubes-auto-bot,False,False,suspicious
serverscanning/place-ipv6-server,False,False,web
sflimbusfisufzs/wisper,False,False,suspicious
shahadatofficial10/raygun-fivem-cheats,False,False,suspicious
singchia/frontier,True,False,web
sivakumar-mahalingam/DSA,False,False,tutorial/demo
sjy-dv/nnv,True,False,database
SKHon/diudiu,False,True,web
smarshall-rightside/Project_Power,False,False,other
smartyfh/LLM-Uncertainty-Bench,False,False,ai
SniperDev00001/PumpFun-Sniper-Bot,False,False,suspicious
solidglue/recommender_system,False,False,tutorial/demo
solidglue/sklearn_examples_jupyter,False,False,tutorial/demo
solidSpoon/DashPlayer,False,True,tool/application
somta/Juggle,False,True,tool/application
sourcenetwork/defradb,True,False,database
sourcenetwork/orbis-go,True,False,database
sourcenetwork/sourcehub,True,False,database
spaceandtimelabs/SxT-Go-SDK,True,False,blockchain
spaceandtimelabs/SxT-Python-SDK,True,False,blockchain
SpheroidUniverse/SpheroidScript,False,False,other
sshterm/ssh,False,False,tool/application
Stallion77RepoOfficial/AutoDuo,False,False,other
Stallion77RepoOfficial/Mac-Battery-Status,False,False,other
Stallion77RepoOfficial/TenorshareiAnyGo-Resetter,False,False,other
Stallion77RepoOfficial/Wireshark-Github,False,False,other
starknet-io/starknet.js,True,False,blockchain
starriver030515/Benchmark,False,False,ai
stellar/soroban-example-dapp,False,True,tutorial/demo
Stock-Fund/XCrawler,False,True,tool/application
StrawHat1Luffy/farcaster-indexer,False,False,database
sudachi-emu/sudachi,False,True,suspicious
sun-jiao/renamer,False,False,tool/application
superjcd/gocrawler,True,False,web
SuperTux/supertux,True,True,other
suyu-emu/suyu,False,True,other
svenundefinedshire/Wallet-stealer,False,True,suspicious
swerunanp/Coman,False,False,suspicious
syedSUBHAN-SALEEM/Catizen-aut0,False,False,suspicious
Synthmania/StakeBot-Predictor,False,False,suspicious
tatumio/tatum-js,True,False,blockchain
TeddyCSoftware/DEX-JavaScript-Front-Running-Bot-V4-TeddyCSoftware,False,False,suspicious
TheAjinkya/remote-job-sites,False,False,tutorial/demo
Theneo-Inc/api-documentation,True,False,ai
Theo-Messi/tools,True,False,web
therealgliz/blooket-hacks,False,True,other
thuiar/Light-MILPopt,False,False,other
TMElyralab/MuseV,False,True,ai
TongchengOpenSource/ckibana,False,False,database
tonnero234/valentine-cloud-assigment,False,False,tutorial/demo
tonnero234/web3prequalification,False,False,blockchain
TorchEnsemble-Community/Ensemble-Pytorch,True,False,ai
tqTitboy/hidden-wiki-2024,False,False,suspicious
traceloop/openllmetry,True,True,ai
tradingviiewww/trading-view-premium,False,False,suspicious
TrashUwU/PokeAssistant,False,False,bot
trustaibots/eth-bundle-launch,False,False,blockchain
UlionTse/mlgb,True,False,ai
uni-medical/IMIS-Bench,False,False,ai
utnet-org/utility,True,False,blockchain
uuu555552/ptocode,False,True,ai
veasion/veasion-db,True,False,database
villanitaorlando416/sakurabestgitsoft,False,False,suspicious
VisionVerse/Blind-Motion-Deblurring-Survey,False,False,ai
wangshiben/QuicFrameWork,True,False,web
wangzhaode/mnn-llm,False,True,ai
weesehellopeopl93/erjng,False,False,suspicious
Weitheskmt/WeiDMD,True,False,other
WenJing95/SayKey,False,False,tool/application
WhoAmI-kai/SSCM,False,False,ai
Wilfred/difftastic,True,True,tool/application
Willie-Martin/mqoe7e,False,False,suspicious
Wilson-ZheLin/Streamline-Analyst,False,True,ai
witcherofresearch/Forgedit,False,False,ai
woaijssss/tros,True,False,web
wvit/web-document,False,True,web
wwwAngHua/KingStudy,False,False,web
WwwwwyDev/crawlipt,True,False,web
WwwwwyDev/crawlist,True,False,web
wzc520pyfm/utype,True,False,basic-utilty
X-PLUG/mPLUG-DocOwl,False,True,ai
x1nx1n8023/hwidspoof,False,False,suspicious
xames3/nanotorch,True,False,ai
xiaoqiang-cheng/Oviz,True,False,tool/application
xie392/quill-mention-react,True,False,web
XJ-Up/quickupload,False,False,web
xrli-U/MuSc,False,False,ai
xszyou/Fay,True,True,ai
YABOIpy/GoDm,True,False,web
yigexiaoyunwei/jumpserver_decrypto,False,False,tool/application
yileijin/Bootstrap-3D-GS,False,True,ai
yoland68/comfy-cli,False,False,tool/application
york11122/quasar-admin-vue3-typescript,False,False,tutorial/demo
youdeyunke/app,False,False,tool/application
YPAndrew0907/Animal-Simulation-game,False,True,other
yuanx749/py-cdhit,True,False,database
yyle88/done,True,False,basic-utilty
yyle88/erero,True,False,basic-utilty
yyle88/eroticgo,True,False,basic-utilty
yyle88/formatgo,True,False,basic-utilty
yyle88/gobtcsign,True,False,basic-utilty
yyle88/gormmom,True,False,basic-utilty
yyle88/gotrontrx,True,False,basic-utilty
yyle88/must,True,False,basic-utilty
yyle88/osexec,True,False,basic-utilty
yyle88/osexistpath,True,False,basic-utilty
yyle88/rese,True,False,basic-utilty
yyle88/sure,True,False,basic-utilty
yyle88/syncmap,True,False,basic-utilty
yyle88/syntaxgo,True,False,basic-utilty
yyle88/tern,True,False,basic-utilty
yyle88/yyle88,True,False,basic-utilty
zchoi/Awesome-Embodied-Agent-with-LLMs,False,False,ai
Zejun-Yang/AniPortrait,False,True,ai
zinodotwtf/zino-app,False,False,blockchain
zksync-sdk/zksync2-python,True,False,blockchain
ZpokenWeb3/solana-zkvm,False,False,blockchain
