repo_id,repo_name,actor,starred_at,fake_acct
MDEwOlJlcG9zaXRvcnkyNTU0NjA2MTk=,holochain/holochain-client-js,Ugurkaya8001,2024-03-08 23:40:50 UTC,suspected-activity_cluster
MDEwOlJlcG9zaXRvcnkyNTU0NjA2MTk=,holochain/holochain-client-js,AdemBozdemir,2022-08-26 00:01:13 UTC,suspected-activity_cluster
MDEwOlJlcG9zaXRvcnkyNTU0NjA2MTk=,holochain/holochain-client-js,Dadaa40,2024-03-08 14:31:00 UTC,suspected-activity_cluster
MDEwOlJlcG9zaXRvcnkyNTU0NjA2MTk=,holochain/holochain-client-js,happy0970,2024-03-08 20:32:33 UTC,suspected-activity_cluster
MDEwOlJlcG9zaXRvcnkyNTU0NjA2MTk=,holochain/holochain-client-js,immortalholo,2024-03-21 22:07:53 UTC,suspected-activity_cluster
MDEwOlJlcG9zaXRvcnkyNTU0NjA2MTk=,holochain/holochain-client-js,ozcanduygu,2024-03-08 14:04:54 UTC,suspected-activity_cluster
MDEwOlJlcG9zaXRvcnkyNTU0NjA2MTk=,holochain/holochain-client-js,Yasinn48,2024-03-07 20:11:17 UTC,suspected-activity_cluster
MDEwOlJlcG9zaXRvcnkyNTU0NjA2MTk=,holochain/holochain-client-js,Mhmmtersoy,2024-03-22 12:04:39 UTC,suspected-activity_cluster
MDEwOlJlcG9zaXRvcnkyNTU0NjA2MTk=,holochain/holochain-client-js,fibotrading48,2024-03-08 21:07:29 UTC,suspected-activity_cluster
MDEwOlJlcG9zaXRvcnkyNTU0NjA2MTk=,holochain/holochain-client-js,Civilens,2024-03-08 13:09:05 UTC,unknown
MDEwOlJlcG9zaXRvcnkyNTU0NjA2MTk=,holochain/holochain-client-js,Brgl37,2024-03-22 15:03:49 UTC,unknown
