repo,month,n_stars,n_clustered_stars
django/django,2019-08,282,0
django/django,2019-09,274,0
django/django,2019-10,249,0
django/django,2019-11,245,0
django/django,2019-12,284,0
django/django,2020-01,4,0
dkhamsing/open-source-ios-apps,2019-07,100,0
dkhamsing/open-source-ios-apps,2019-08,137,0
dkhamsing/open-source-ios-apps,2019-09,78,0
dkhamsing/open-source-ios-apps,2019-10,82,0
dkhamsing/open-source-ios-apps,2019-11,104,0
dkhamsing/open-source-ios-apps,2019-12,101,0
dkhamsing/open-source-ios-apps,2020-01,1,0
doctrine/orm,2019-07,30,0
doctrine/orm,2019-08,52,0
doctrine/orm,2019-09,30,0
doctrine/orm,2019-10,54,0
doctrine/orm,2019-11,50,0
doctrine/orm,2019-12,45,0
dodola/WeexOne,2019-09,1,0
dodola/WeexOne,2019-10,2,0
dodola/WeexOne,2019-12,1,0
doitsujin/dxvk,2019-07,40,0
doitsujin/dxvk,2019-08,25,0
doitsujin/dxvk,2019-09,36,0
doitsujin/dxvk,2019-10,26,0
doitsujin/dxvk,2019-11,48,0
doitsujin/dxvk,2019-12,67,0
doitsujin/dxvk,2020-01,2,0
donnemartin/data-science-ipython-notebooks,2019-07,73,0
donnemartin/data-science-ipython-notebooks,2019-08,58,0
donnemartin/data-science-ipython-notebooks,2019-09,224,0
donnemartin/data-science-ipython-notebooks,2019-10,200,0
donnemartin/data-science-ipython-notebooks,2019-11,77,0
donnemartin/data-science-ipython-notebooks,2019-12,53,0
donnemartin/data-science-ipython-notebooks,2020-01,1,0
donnemartin/system-design-primer,2019-07,668,0
donnemartin/system-design-primer,2019-08,817,0
donnemartin/system-design-primer,2019-09,702,0
donnemartin/system-design-primer,2019-10,614,0
donnemartin/system-design-primer,2019-11,674,0
donnemartin/system-design-primer,2019-12,761,0
donnemartin/system-design-primer,2020-01,15,0
doocs/advanced-java,2019-07,1271,0
doocs/advanced-java,2019-08,668,0
doocs/advanced-java,2019-09,1019,0
doocs/advanced-java,2019-10,613,0
doocs/advanced-java,2019-11,610,0
doocs/advanced-java,2019-12,843,0
doocs/advanced-java,2020-01,10,0
doocs/leetcode,2019-07,9,0
doocs/leetcode,2019-08,7,0
doocs/leetcode,2019-09,13,0
doocs/leetcode,2019-10,8,0
doocs/leetcode,2019-11,6,0
doocs/leetcode,2019-12,7,0
doocs/source-code-hunter,2019-10,1,0
doocs/source-code-hunter,2019-11,3,0
doocs/source-code-hunter,2019-12,21,0
dylanaraps/pure-bash-bible,2019-07,103,0
dylanaraps/pure-bash-bible,2019-08,358,0
dylanaraps/pure-bash-bible,2019-09,2720,0
dylanaraps/pure-bash-bible,2019-10,509,0
dylanaraps/pure-bash-bible,2019-11,129,0
dylanaraps/pure-bash-bible,2019-12,136,0
dylanaraps/pure-bash-bible,2020-01,1,0
dypsilon/frontend-dev-bookmarks,2019-07,60,0
dypsilon/frontend-dev-bookmarks,2019-08,55,0
dypsilon/frontend-dev-bookmarks,2019-09,55,0
