repo_id,repo_names,n_stars,n_stars_low_activity,p_stars_low_activity
R_kgDOL1ARCg,"HoneypotToken/How-to-create-Honeypot-Token,HoneypotToken/how-to-create-a-honeypot-token",3542,2229,0.629305477131564
R_kgDOH9ELfA,ibagroup-eu/Visual-Flow,461,289,0.6268980477223427
,Cryptocandy342/Pancakeswap-Sniper-Bot,396,248,0.6262626262626263
R_kgDOKZYQPw,librescan-org/deploy-compose,135,84,0.6222222222222222
,eexaf/MEV-BOT,87,54,0.6206896551724138
,astonium-dev2/rainbow-six-siege-astonium,191,118,0.6178010471204188
R_kgDOIkeA0w,pachimsh/pachim-docs,102,63,0.6176470588235294
,paidworkco/solana-api,217,134,0.6175115207373272
,Bijen786/FILMORA-CRACK-DOWNLOAD-2023-40957,209,129,0.6172248803827751
,paidworkco/.github,112,69,0.6160714285714286
,Pimpkaf/ETH-ARBITRAGE-MEV-BOT,111,68,0.6126126126126126
MDEwOlJlcG9zaXRvcnk5MDkwMzE1Ng==,RomascuAndrei/BTNotifierAndroid,139,85,0.6115107913669064
R_kgDOJ6T2Gg,rocketapi-io/threads-private-api,146,89,0.6095890410958904
R_kgDOHmkORg,kazura233/kazurajs,107,65,0.6074766355140186
,nftdevs/NFTs_Upload_To_OpenSea_With_Metadata,187,113,0.6042780748663101
,NOTMORSE/liqudity-pool-bot-auto-buyer,244,147,0.6024590163934426
,BloBlue/BlueSeaSniper,686,413,0.6020408163265306
MDEwOlJlcG9zaXRvcnkyMDQwOTI1NTQ=,akio-tanaka/lickey,788,474,0.6015228426395939
,markwalker4516/RUST-HACK-ESP-AIMBOT-More-functionality-Black,303,180,0.594059405940594
,paidworkco/worken-sdk-php,903,533,0.5902547065337763
R_kgDOL3j1mQ,b120s/aviator,634,373,0.5883280757097792
,ricardofcardoso/Silent-Crypto-Miner-latest,393,231,0.5877862595419847
,terenchiva/archetyp-market-url,379,222,0.5857519788918206
R_kgDOJ3vC6A,Luxe7/BaoZan,170,99,0.5823529411764706
,bossiskar/seed-phrase-generator,656,381,0.5807926829268293
,CryptoDishmon/Pancakeswap-Sniper-Bot,186,108,0.5806451612903226
,latermenator1/credi256,88,51,0.5795454545454546
,dakmak74/legendary-journey,94,54,0.574468085106383
R_kgDOKGXObQ,NatroTeam/NatroMacro,1009,579,0.5738354806739346
R_kgDOKhp1wg,joaokristani/Discord-Server-Cloner-2x,929,533,0.573735199138859
R_kgDOKHSigw,ncc-erp/metasign,763,434,0.5688073394495413
R_kgDOJplG1w,AkshatOP/Poketwo-Autocatcher,434,246,0.5668202764976958
,DEATH0v0/GitHub-Software,259,146,0.5637065637065637
,Xylanthea/MyProject0643,189,106,0.5608465608465608
,Drainersby0x/MULTICHAIN-DRAINER-CRYPTO-WALLET-STEALER-ETH-ETHEREUM-SEAPORT-2023,168,94,0.5595238095238095
MDEwOlJlcG9zaXRvcnkyNjE2ODA5MjY=,FOSSEE/FSF-mathematics-python-code-archive,115,64,0.5565217391304348
,eak65/Cashapp,126,70,0.5555555555555556
