github,total_stars,fake_stars,fake_percentage
tabler/tabler-icons,17568,6,0.03415300546448088
mmazzarolo/react-native-modal-datetime-picker,2928,1,0.03415300546448088
gpbl/react-day-picker,5863,2,0.034112229234180454
quicktype/quicktype,11749,4,0.034045450676653335
ded/reqwest,2939,1,0.03402517863218782
sindresorhus/modern-normalize,5890,2,0.03395585738539898
angular/angular.js,58908,20,0.03395124601072859
pmndrs/jotai,17751,6,0.03380091262464086
mledoze/countries,5922,2,0.033772374197906116
ajaxorg/ace-builds,2962,1,0.0337609723160027
flitbit/diff,2973,1,0.03363605785401951
evrone/postcss-px-to-viewport,2977,1,0.03359086328518643
arcticicestudio/nord,5983,2,0.033428046130703666
KaTeX/KaTeX,17961,6,0.033405712376816436
hybridsjs/hybrids,2994,1,0.033400133600534405
expressjs/cors,5997,2,0.03335000833750208
ivpusic/react-native-image-crop-picker,6039,2,0.03311806590495115
jshjohnson/Choices,6045,2,0.033085194375516956
siimon/prom-client,3023,1,0.03307972213033411
stripe/react-stripe-elements,3024,1,0.03306878306878307
maxwellito/vivus,15123,5,0.03306222310388151
mourner/suncalc,3031,1,0.03299241174529858
mockoon/mockoon,6063,2,0.03298697014679201
aspnet/JavaScriptServices,3040,1,0.03289473684210526
jhipster/generator-jhipster,21305,7,0.03285613705702886
signalr/signalr,9136,3,0.03283712784588441
Microsoft/fast,9153,3,0.03277613897082924
lokesh/lightbox2,6132,2,0.03261578604044357
reactjs/react-tabs,3067,1,0.032605151613955004
acacode/swagger-typescript-api,3069,1,0.03258390355164549
trivago/prettier-plugin-sort-imports,3087,1,0.032393909944930355
tinkoff/taiga-ui,3098,1,0.03227888960619754
taiga-family/taiga-ui,3098,1,0.03227888960619754
berstend/puppeteer-extra,6227,2,0.03211819495744339
e-oj/Magic-Grid,3116,1,0.03209242618741977
alexa/alexa-skills-kit-sdk-for-nodejs,3116,1,0.03209242618741977
auth0/jwt-decode,3124,1,0.03201024327784891
deepkit/deepkit-framework,3133,1,0.031918289179699966
marcj/marshal,3133,1,0.031918289179699966
kenwheeler/slick,28331,9,0.03176732201475416
ahmadawais/create-guten-block,3152,1,0.031725888324873094
bbc/peaks.js,3153,1,0.03171582619727244
rbuckton/reflect-metadata,3153,1,0.03171582619727244
danvk/dygraphs,3154,1,0.03170577045022194
rbuckton/ReflectDecorators,3154,1,0.03170577045022194
sachinchoolur/lightGallery,6316,2,0.031665611146295125
electron/forge,6323,2,0.03163055511624229
electron-userland/electron-forge,6323,2,0.03163055511624229
react-native-webview/react-native-webview,6327,2,0.0316105579263474
tomkp/react-split-pane,3167,1,0.031575623618566466
yarnpkg/yarn,41375,13,0.03141993957703927
alibaba/designable,3185,1,0.03139717425431711
surmon-china/vue-codemirror,3194,1,0.031308703819661866
ast-grep/ast-grep,6394,2,0.03127932436659368
astrit/css.gg,9608,3,0.03122398001665279
wix/react-native-notifications,3207,1,0.031181789834736514
cloudflare/wrangler-legacy,3212,1,0.031133250311332503
Microsoft/react-native-windows,16107,5,0.03104240392375986
microsoft/react-native-windows,16110,5,0.031036623215394164
liveblocks/liveblocks,3223,1,0.031026993484331366
prettier/eslint-plugin-prettier,3227,1,0.030988534242330338
captbaritone/webamp,9688,3,0.030966143682906688
usablica/intro.js,22660,7,0.03089143865842895
bcakmakoglu/vue-flow,3239,1,0.030873726458783574
nodejs/nan,3252,1,0.03075030750307503
jaywcjlove/hotkeys-js,6535,2,0.0306044376434583
thi-ng/umbrella,3269,1,0.03059039461609055
hperrin/svelte-material-ui,3270,1,0.03058103975535168
jonmiles/bootstrap-treeview,3281,1,0.030478512648582746
dicebear/dicebear,6578,2,0.030404378230465188
idiotWu/smooth-scrollbar,3293,1,0.03036744609778318
VodkaBears/Vide,3293,1,0.03036744609778318
jonathantneal/svg4everybody,3294,1,0.030358227079538558
cytoscape/cytoscape.js,9884,3,0.03035208417644678
LuanRT/YouTube.js,3295,1,0.030349013657056147
chakra-ui/ark,3322,1,0.030102347983142687
ElemeFE/vue-amap,3323,1,0.03009328919650918
GitbookIO/gitbook,26630,8,0.030041306796845663
