repo_id,repo_names,n_stars,n_stars_low_activity,p_stars_low_activity
MDEwOlJlcG9zaXRvcnkyODc5MjkwMTc=,AcgLibrary/ppcat_store,258,90,0.3488372093023256
,Cocos-BCX/iOSWallet,823,287,0.3487241798298906
MDEwOlJlcG9zaXRvcnkxNzUxNzIyOTg=,zyding1983/datamining,152,53,0.34868421052631576
,webtr33/Nft-Generator-Creator,2235,779,0.3485458612975392
MDEwOlJlcG9zaXRvcnkzMzM0ODE5Njc=,himanshu007-creator/SFC-foundations,268,93,0.34701492537313433
MDEwOlJlcG9zaXRvcnkxOTgyMDY5OTU=,Cocos-BCX/JSSDK-Demo,1357,464,0.341930729550479
R_kgDOH0ZGAg,0x088/nums,191,65,0.3403141361256545
R_kgDOHKLaIg,GlixzzyBlooketHacks/Glixzzy.github.io.,247,84,0.340080971659919
,rifkat1985/PancakeSwap-Sniper-Bot,200,68,0.34
MDEwOlJlcG9zaXRvcnkzMTcxNzc2MDU=,"eggprotocol/EGG,Cocoricos/EGG",1499,508,0.3388925950633756
,yield63rus/onion-sites-list,2298,776,0.33768494342906874
MDEwOlJlcG9zaXRvcnkzNzYxNzg0ODM=,DarkSnakeGang/GoogleSnakeCustomMenuStuff,163,55,0.3374233128834356
R_kgDOIli1WA,memochou1993/gpt-ai-assistant,6988,2351,0.3364338866628506
R_kgDOHXfzMw,577fkj/GenshinProxy,622,209,0.3360128617363344
R_kgDOLBsulw,Tele-AI/Telechat,1656,555,0.3351449275362319
MDEwOlJlcG9zaXRvcnkxNDQ0MzEyODE=,freessservice/HumBird,254,85,0.3346456692913386
,Sxrychrv/HWID-MANAGER-SPOOFER,274,91,0.33211678832116787
,Gfvq/Mevbot,208,69,0.3317307692307692
MDEwOlJlcG9zaXRvcnkzNDE0Njg0ODM=,DeadlyKitten/MonkeModManager,151,50,0.33112582781456956
,siriusdeveloper/sirius-crypter,535,177,0.33084112149532713
MDEwOlJlcG9zaXRvcnkzNzg4Nzc4NzA=,phoenixchain/phoenix,245,81,0.3306122448979592
MDEwOlJlcG9zaXRvcnkyODE5ODUwMzA=,yakinkampus/Python_Egitim,318,105,0.330188679245283
